Date,Year,Month,Exchange_Rate
1982-09-01,1982,9,20.910999999
1982-10-01,1982,10,20.885999999
1982-11-01,1982,11,21.023999999
1982-12-01,1982,12,21.172999999
1983-01-01,1983,1,23.5285833324167
1983-02-01,1983,2,22.475999999
1983-03-01,1983,3,22.981999999
1983-04-01,1983,4,22.958999999
1983-05-01,1983,5,22.967999999
1983-06-01,1983,6,23.054
1983-07-01,1983,7,24.135999999
1983-08-01,1983,8,24.263999999
1983-09-01,1983,9,24.389999999
1983-10-01,1983,10,24.408999999
1983-11-01,1983,11,24.592999999
1983-12-01,1983,12,24.712999999
1984-01-01,1984,1,25.4381666660833
1984-02-01,1984,2,25.257999999
1984-03-01,1984,3,25.155999999
1984-04-01,1984,4,25.122999999
1984-05-01,1984,5,25.151999999
1984-06-01,1984,6,25.166
1984-07-01,1984,7,25.212999999
1984-08-01,1984,8,25.273999999
1984-09-01,1984,9,25.591
1984-10-01,1984,10,25.89
1984-11-01,1984,11,26.06
1984-12-01,1984,12,26.201
1985-01-01,1985,1,27.162583333
1985-02-01,1985,2,26.488
1985-03-01,1985,3,26.827999999
1985-04-01,1985,4,27.102
1985-05-01,1985,5,27.398
1985-06-01,1985,6,27.42
1985-07-01,1985,7,27.320999999
1985-08-01,1985,8,27.364999999
1985-09-01,1985,9,27.413999999
1985-10-01,1985,10,27.401
1985-11-01,1985,11,27.433
1985-12-01,1985,12,27.406
1986-01-01,1986,1,28.01733333325
1986-02-01,1986,2,27.582
1986-03-01,1986,3,27.609
1986-04-01,1986,4,27.773
1986-05-01,1986,5,27.921
1986-06-01,1986,6,27.940999999
1986-07-01,1986,7,28.05
1986-08-01,1986,8,28.174
1986-09-01,1986,9,28.281
1986-10-01,1986,10,28.394
1986-11-01,1986,11,28.458
1986-12-01,1986,12,28.52
1987-01-01,1987,1,29.44475
1987-02-01,1987,2,28.647
1987-03-01,1987,3,28.762
1987-04-01,1987,4,28.883
1987-05-01,1987,5,28.978
1987-06-01,1987,6,29.152
1987-07-01,1987,7,29.377
1987-08-01,1987,8,29.629
1987-09-01,1987,9,29.89
1987-10-01,1987,10,30.329
1987-11-01,1987,11,30.502
1987-12-01,1987,12,30.624
1988-01-01,1988,1,31.80675
1988-02-01,1988,2,30.843
1988-03-01,1988,3,30.877
1988-04-01,1988,4,30.923
1988-05-01,1988,5,30.975
1988-06-01,1988,6,31.096
1988-07-01,1988,7,31.781
1988-08-01,1988,8,32.467
1988-09-01,1988,9,32.967
1988-10-01,1988,10,32.975
1988-11-01,1988,11,32.973
1988-12-01,1988,12,32.998
1989-01-01,1989,1,36.0470833333333
1989-02-01,1989,2,33.098
1989-03-01,1989,3,33.409
1989-04-01,1989,4,34.0
1989-05-01,1989,5,34.132
1989-06-01,1989,6,34.289
1989-07-01,1989,7,34.743
1989-08-01,1989,8,36.318
1989-09-01,1989,9,39.464
1989-10-01,1989,10,40.0
1989-11-01,1989,11,40.0
1989-12-01,1989,12,40.0
1990-01-01,1990,1,40.0629166666667
1990-02-01,1990,2,40.0
1990-03-01,1990,3,40.0
1990-04-01,1990,4,40.0
1990-05-01,1990,5,40.0
1990-06-01,1990,6,40.0
1990-07-01,1990,7,40.0
1990-08-01,1990,8,39.981
1990-09-01,1990,9,39.934
1990-10-01,1990,10,40.276
1990-11-01,1990,11,40.336
1990-12-01,1990,12,40.228
1991-01-01,1991,1,41.3715
1991-02-01,1991,2,40.564
1991-03-01,1991,3,40.729
1991-04-01,1991,4,40.808
1991-05-01,1991,5,40.977
1991-06-01,1991,6,41.194
1991-07-01,1991,7,41.231
1991-08-01,1991,8,41.739
1991-09-01,1991,9,41.912
1991-10-01,1991,10,42.154
1991-11-01,1991,11,42.365
1991-12-01,1991,12,42.513
1992-01-01,1992,1,43.829625
1992-02-01,1992,2,42.823
1992-03-01,1992,3,43.112
1992-04-01,1992,4,43.387
1992-05-01,1992,5,43.612
1992-06-01,1992,6,43.928
1992-07-01,1992,7,44.034
1992-08-01,1992,8,44.142
1992-09-01,1992,9,44.246
1992-10-01,1992,10,44.433
1992-11-01,1992,11,44.549
1992-12-01,1992,12,45.0405
1993-01-01,1993,1,48.3221675
1993-02-01,1993,2,46.533
1993-03-01,1993,3,47.045
1993-04-01,1993,4,47.846
1993-05-01,1993,5,48.0718
1993-06-01,1993,6,46.2447
1993-07-01,1993,7,48.8305
1993-08-01,1993,8,49.038
1993-09-01,1993,9,49.0892
1993-10-01,1993,10,49.1806
1993-11-01,1993,11,49.31789
1993-12-01,1993,12,49.48882
1994-01-01,1994,1,49.4151416666667
1994-02-01,1994,2,49.367
1994-03-01,1994,3,49.1822
1994-04-01,1994,4,49.1684
1994-05-01,1994,5,49.2922
1994-06-01,1994,6,49.5557
1994-07-01,1994,7,49.2838
1994-08-01,1994,8,49.49641
1994-09-01,1994,9,49.518
1994-10-01,1994,10,49.38026
1994-11-01,1994,11,49.3282
1994-12-01,1994,12,49.7375
1995-01-01,1995,1,51.2515891666667
1995-02-01,1995,2,50.20889
1995-03-01,1995,3,49.9598
1995-04-01,1995,4,49.73833
1995-05-01,1995,5,49.95684
1995-06-01,1995,6,50.26801
1995-07-01,1995,7,50.80225
1995-08-01,1995,8,51.471
1995-09-01,1995,9,52.36171
1995-10-01,1995,10,52.7165
1995-11-01,1995,11,53.41154
1995-12-01,1995,12,54.0092
1996-01-01,1996,1,55.2714441666667
1996-02-01,1996,2,54.1842
1996-03-01,1996,3,54.16087
1996-04-01,1996,4,54.19921
1996-05-01,1996,5,54.40711
1996-06-01,1996,6,54.969
1996-07-01,1996,7,55.50312
1996-08-01,1996,8,55.80194
1996-09-01,1996,9,56.1955
1996-10-01,1996,10,56.526
1996-11-01,1996,11,56.51298
1996-12-01,1996,12,56.6429
1997-01-01,1997,1,58.994605
1997-02-01,1997,2,57.39342
1997-03-01,1997,3,57.78225
1997-04-01,1997,4,58.41171
1997-05-01,1997,5,58.7972
1997-06-01,1997,6,58.968
1997-07-01,1997,7,59.19398
1997-08-01,1997,8,59.50362
1997-09-01,1997,9,59.67237
1997-10-01,1997,10,59.93962
