Date,Year,Month,Exchange_Rate,YoY_Change,Rolling_Avg,Exchange_Rate_Winsorized,Exchange_Rate_Change
1980-08-01,1980,8,16.530999999,0.0,15.958284721597224,16.530999999,2.7791594132541064
1980-09-01,1980,9,16.961,0.0,16.069368055013893,16.961,2.601173558925729
1980-10-01,1980,10,17.414999999,0.0,16.213784721680558,17.414999999,2.6767289605565736
1980-11-01,1980,11,17.956,0.0,16.408201388347226,17.956,3.1065173760038256
1980-12-01,1980,12,18.076,0.0,16.624284721680556,18.076,0.6683002895967904
1981-01-01,1981,1,19.2457499991667,0.0,16.850229166097225,19.2457499991667,6.4712878909421345
1981-02-01,1981,2,18.14,0.0,17.06164583276389,18.14,-5.745424310378022
1981-03-01,1981,3,18.103999999,0.0,17.232062499347226,18.103999999,-0.19845645534730671
1981-04-01,1981,4,18.216,0.0,17.39789583276389,18.216,0.6186478181959165
1981-05-01,1981,5,18.693999999,0.0,17.621729166097225,18.693999999,2.624066749011855
1981-06-01,1981,6,18.716999999,0.0,17.844979166097225,18.716999999,0.12303412860399376
1981-07-01,1981,7,18.942999999,0.0,18.083229166097222,18.942999999,1.2074584602878469
1981-08-01,1981,8,19.613999999,0.0,18.34014583276389,19.613999999,3.5422055642476025
1981-09-01,1981,9,20.239999999,0.0,18.613395832680556,20.239999999,3.1915978384414956
1981-10-01,1981,10,20.841999999,0.0,18.89897916601389,20.841999999,2.9743083005422166
1981-11-01,1981,11,20.951999999,0.0,19.148645832597225,20.951999999,0.5277804433609035
1981-12-01,1981,12,20.518999999,0.0,19.352229165847223,20.518999999,-2.066628484252908
1982-01-01,1982,1,20.812249999,249.64644304174993,19.482770832499998,20.812249999,1.4291632146512523
1982-02-01,1982,2,20.654999999,247.00463818302705,19.69235416575,20.654999999,-0.7555646314432729
1982-03-01,1982,3,20.679999999,247.42463895547903,19.907020832416666,20.679999999,0.12103606875433215
1982-04-01,1982,4,20.689999999,247.5926392644598,20.113187499000002,20.689999999,0.04835589942207008
1982-05-01,1982,5,20.679999999,247.42463895547903,20.278687499,20.679999999,-0.048332527793548685
1982-06-01,1982,6,20.720999999,248.11344022230026,20.445687498999998,20.720999999,0.19825918763047845
1982-07-01,1982,7,20.842999999,250.16304399186592,20.604020832333333,20.842999999,0.5887746730654397
1982-08-01,1982,8,20.886999999,250.90224535138142,20.710104165666667,20.886999999,0.2111020486595505
1982-09-01,1982,9,20.910999999,251.3054460929353,20.766020832333336,20.910999999,0.11490400728275674
1982-10-01,1982,10,20.885999999,250.8854453204833,20.769687499,20.885999999,-0.1195543015695022
1982-11-01,1982,11,21.023999999,253.20384958441826,20.775687499,21.023999999,0.660729675412286
1982-12-01,1982,12,21.172999999,255.70705418823212,20.830187499,21.172999999,0.7087138508708568
1983-01-01,1983,1,23.5285833324167,296.4412303302447,21.05654861011806,23.5285833324167,11.125411295177612
1983-02-01,1983,2,22.475999999,277.5974944484293,21.20829861011806,22.475999999,-4.473636676486581
1983-03-01,1983,3,22.981999999,286.09831008285744,21.400131943451388,22.981999999,2.2512902652719102
1983-04-01,1983,4,22.958999999,285.71190937220166,21.589215276784724,22.958999999,-0.10007832216952783
1983-05-01,1983,5,22.967999999,285.86310965028434,21.77988194345139,22.967999999,0.03920031360422627
1983-06-01,1983,6,23.054,287.3079123243192,21.97429861020139,23.054,0.3744339994938395
1983-07-01,1983,7,24.135999999,305.48554573924093,22.248715276868058,24.135999999,4.6933287021774905
1983-08-01,1983,8,24.263999999,307.63594969419506,22.530131943534727,24.263999999,0.5303281405589333
1983-09-01,1983,9,24.389999999,309.7527535873531,22.820048610201393,24.389999999,0.5192878338492912
1983-10-01,1983,10,24.408999999,310.0719541744166,23.113631943534727,24.408999999,0.07790077901097536
1983-11-01,1983,11,24.592999999,313.16315985966315,23.41104861020139,24.592999999,0.7538203122108289
1983-12-01,1983,12,24.712999999,330.2916851364,23.706048610201393,24.712999999,0.4879437238436868
1984-01-01,1984,1,25.4381666660833,363.99118183572324,23.86518055467361,25.4381666660833,2.934353041365445
1984-02-01,1984,2,25.257999999,360.7049487559297,24.09701388800694,25.257999999,-0.708253348003729
1984-03-01,1984,3,25.155999999,358.8444726780547,24.278180554673607,25.155999999,-0.40383244914101724
1984-04-01,1984,4,25.122999999,358.24255394697764,24.458513888006937,25.122999999,-0.13118142789517728
1984-05-01,1984,5,25.151999999,358.7715128318636,24.64051388800694,25.151999999,0.1154320741995507
1984-06-01,1984,6,25.166,359.02687231177265,24.816513888006938,25.166,0.05566158158618606
1984-07-01,1984,7,25.212999999,308.1754897698196,24.906263888006944,25.212999999,0.18675991019629912
1984-08-01,1984,8,25.273999999,294.9062500460791,24.99043055467361,25.273999999,0.24193868243533867
1984-09-01,1984,9,25.591,299.859375062478,25.090513888090275,25.591,1.254253386929416
1984-10-01,1984,10,25.89,300.6499536367456,25.213930554840275,25.89,1.1683795084209248
1984-11-01,1984,11,26.06,294.13188148731575,25.33618055492361,26.06,0.6566241792197669
1984-12-01,1984,12,26.201,291.17647064663726,25.46018055500694,26.201,0.5410590943975446
1985-01-01,1985,1,27.162583333,306.01768814738676,25.603881943916672,27.162583333,3.6700253158276297
1985-02-01,1985,2,26.488,304.0268456992109,25.706381944,26.488,-2.483502120287817
1985-03-01,1985,3,26.827999999,319.5152463361243,25.845715277333337,26.827999999,1.2836001170341227
1985-04-01,1985,4,27.102,327.6112338951737,26.010631944083332,27.102,1.0213210116677196
